"Unique Response Number","1. Which age category do you belong to?","2. Where do you currently live?","3. What industry do you work in?","4. At what stage in your career are you?","5. Do you have children?","6. Are you currently working remotely?","7. What was your companies stance on working remotely before the pandemic?","8. What do you see as the biggest benefit of working remotely?","9. What is the biggest issue you see with working remotely?","10. Please rate how strongly you agree or disagree with the following statements:","10.1.a. I could do my job just as effectively working from home.","10.2.a. I am able to stick to a work schedule.","10.3.a. I am expected to respond to emails/messages immediately.","10.4.a. My company provides me with the tools and software necessary to make remote working possible.","10.5.a. I get the enough support from my manager.","10.6.a. I am able to connect with my manager as well as if I was in the office.","10.7.a. I feel that I am able to easily reach my colleagues.","10.8.a. I feel that my colleagues keep me in the loop.","10.9.a. I am happy with how frequently I interact with colleagues.","10.10.a. I feel that the remote working policy is clear.","10.11.a. I know what is expected of me every day.","10.12.a. My company communicates efficiently.","10.13.a. I am happy with my work-life balance.","10.14.a. I am happy with my ability to work from home.","11. Would you like to work remotely going forward?"
"669016-669007-68725236","18-24","South Africa","Software","Junior Level (2-5 years in the workforce)","No","Yes, due to COVID-19 restrictions but will return to full time once the pandemic has passed","Full time in the office","Flexibility","Loneliness",,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","Agree","Yes, part time"
"669016-669007-68725674","18-24","South Africa","Software","Entry level (less than 2 years in the workforce)","No","Yes, due to COVID-19 restrictions but will return to full time once the pandemic has passed","Everone works remotely","Flexibility","Distractions",,"Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Yes, part time"
"669016-669007-68725808","35-44","South Africa","Finance and Insurance","Senior stage (more than 15 years in the workforce)","Yes","Yes, full time","Full time in the office","Time with family","Switching off after work",,"Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes, full time"
"669016-669007-68726565","18-24","South Africa","Finance and Insurance","Junior Level (2-5 years in the workforce)","No","Yes, due to COVID-19 restrictions but will return to full time once the pandemic has passed","Full time in the office","Time with family","Staying motivated",,"Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Yes, full time"
"669016-669007-68728541","25-34","South Africa","Finance and Insurance","Junior Level (2-5 years in the workforce)","No","Yes, full time","I have the ability to work remotely as needed","Flexibility","Distractions",,"Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Yes, full time"
"669016-669007-68739605","25-34","South Africa","Scientific or Technical Services","Mid stage (5-15 years in the workforce","No","Yes, due to COVID-19 restrictions but will return to full time once the pandemic has passed","I have the ability to work remotely as needed","Flexibility","Switching off after work",,"Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Yes, part time"
"669016-669007-68741704","25-34","South Africa","Health","Junior Level (2-5 years in the workforce)","No","Yes, due to COVID-19 restrictions but will return to full time once the pandemic has passed","I have the ability to work remotely as needed","Working from any location","Collaboration and Communication",,"Agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Yes, part time"
"669016-669007-68743393","25-34","South Africa","Other","Junior Level (2-5 years in the workforce)","No","Yes, part time","Half the team work at the office and half work remotely","Flexibility","Switching off after work",,"Agree","Disagree","Agree","Strongly agree","Agree","Neither agree nor disagree","Agree","Disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Yes, part time"
"669016-669007-68755463","25-34","South Africa","Software","Junior Level (2-5 years in the workforce)","No","Yes, full time","Full time in the office","Flexibility","Loneliness",,"Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes, full time"
"669016-669007-68763872","25-34","South Africa","Education","Junior Level (2-5 years in the workforce)","No","Yes, full time","Full time in the office","Working from home","Collaboration and Communication",,"Strongly agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Yes, full time"
"669016-669007-68774020","35-44","South Africa","Information Services and Data Processing","Senior stage (more than 15 years in the workforce)","Yes","Yes, full time","Full time in the office","Working from home","Switching off after work",,"Strongly agree","Strongly agree","Disagree","Strongly agree","Disagree","Neither agree nor disagree","Strongly agree","Disagree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Yes, full time"
"669016-669007-68777704","25-34","South Africa","Finance and Insurance","Junior Level (2-5 years in the workforce)","No","Yes, part time","Full time in the office","Flexibility","Switching off after work",,"Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Yes, part time"
